nutrition,measure,food_product,value
Protein,G,Almond,0.42
Protein,G,Amaretto,0.0
Protein,G,Anchovy,0.56
Protein,G,Anise,0.34
Protein,G,Apple,0.0
Protein,G,Apple Juice,0.0
Protein,G,Apricot,0.0
Protein,G,Artichoke,0.02
Protein,G,Arugula,0.04
Protein,G,Asian Pear,0.0
Protein,G,Asparagus,0.04
Protein,G,Avocado,0.02
Protein,G,Bacon,0.14
Protein,G,Banana,0.24
Protein,G,Barley,0.04
Protein,G,Basil,0.0
Protein,G,Bass,0.3
Protein,G,Bean,0.1
Protein,G,Beef,0.4
Protein,G,Beef Rib,0.42
Protein,G,Beef Shank,0.42
Protein,G,Beef Tenderloin,0.4
Protein,G,Beer,0.0
Protein,G,Beet,0.0
Protein,G,Bell Pepper,0.0
Protein,G,Berry,0.0
Protein,G,Bitters,0.0
Protein,G,Blackberry,0.0
Protein,G,Blue Cheese,0.42
Protein,G,Blueberry,0.0
Protein,G,Bok Choy,0.02
Protein,G,Bourbon,0.0
Protein,G,Bran,0.18
Protein,G,Brandy,0.0
Protein,G,Bread,0.1
Protein,G,Brie,0.34
Protein,G,Brine,0.78
Protein,G,Brisket,0.58
Protein,G,Broccoli,0.04
Protein,G,Broccoli Rabe,0.04
Protein,G,Brown Rice,0.18
Protein,G,Brussel Sprout,0.06
Protein,G,Buffalo,0.7
Protein,G,Bulgur,0.24
Protein,G,Butter,0.0
Protein,G,Buttermilk,0.06
Protein,G,Butternut Squash,0.02
Protein,G,Cabbage,0.02
Protein,G,Cake,0.06
Protein,G,Calvados,0.28
Protein,G,Candy,0.0
Protein,G,Candy Thermometer,0.12
Protein,G,Cantaloupe,0.0
Protein,G,Caraway,0.5
Protein,G,Cardamom,0.0
Protein,G,Carrot,0.0
Protein,G,Cashew,0.12
Protein,G,Cauliflower,0.0
Protein,G,Celery,0.0
Protein,G,Chambord,0.0
Protein,G,Champagne,0.0
Protein,G,Chard,0.02
Protein,G,Chartreuse,0.0
Protein,G,Cheddar,0.2
Protein,G,Cheese,0.32
Protein,G,Cherry,0.08
Protein,G,Chestnut,0.08
Protein,G,Chicken,0.48
Protein,G,Chickpea,0.38
Protein,G,Chile,0.16
Protein,G,Chile Pepper,0.2
Protein,G,Chili,0.1
Protein,G,Chill,0.0
Protein,G,Chive,0.06
Protein,G,Chocolate,0.1
Protein,G,Cilantro,0.0
Protein,G,Cinnamon,0.0
Protein,G,Citrus,0.0
Protein,G,Clam,0.22
Protein,G,Clove,0.1
Protein,G,Coconut,0.06
Protein,G,Cod,0.34
Protein,G,Coffee,0.0
Protein,G,Collard Greens,0.04
Protein,G,Cookies,0.08
Protein,G,Coriander,0.24
Protein,G,Corn,0.0
Protein,G,Cornmeal,0.14
Protein,G,Cottage Cheese,0.16
Protein,G,Couscous,0.26
Protein,G,Crab,0.34
Protein,G,Cranberry,0.0
Protein,G,Cranberry Sauce,0.0
Protein,G,Cream Cheese,0.14
Protein,G,Cucumber,0.0
Protein,G,Cumin,0.34
Protein,G,Currant,0.06
Protein,G,Curry,0.0
Protein,G,Date,0.04
Protein,G,Dill,0.0
Protein,G,Dried Fruit,0.04
Protein,G,Duck,0.0
Protein,G,Eau De Vie,0.12
Protein,G,Egg,0.18
Protein,G,Eggplant,0.08
Protein,G,Endive,0.02
Protein,G,Escarole,0.02
Protein,G,Fennel,0.02
Protein,G,Feta,0.0
Protein,G,Fig,0.0
Protein,G,Fish,0.22
Protein,G,Fontina,0.5
Protein,G,Frangelico,0.24
Protein,G,Fruit Juice,0.0
Protein,G,Garlic,0.0
Protein,G,Gin,0.0
Protein,G,Ginger,0.0
Protein,G,Goat Cheese,0.5
Protein,G,Goose,0.0
Protein,G,Gouda,0.5
Protein,G,Grains,0.2
Protein,G,Grand Marnier,0.0
Protein,G,Grape,0.0
Protein,G,Grapefruit,0.0
Protein,G,Green Bean,0.0
Protein,G,Ground Beef,0.38
Protein,G,Ground Lamb,0.34
Protein,G,Guava,0.0
Protein,G,Halibut,0.4
Protein,G,Ham,0.38
Protein,G,Hamburger,0.18
Protein,G,Hazelnut,0.14
Protein,G,Herb,0.0
Protein,G,Honey,0.0
Protein,G,Honeydew,0.0
Protein,G,Horseradish,0.02
Protein,G,Hot Pepper,0.42
Protein,G,Ice Cream,0.06
Protein,G,Jerusalem Artichoke,0.04
Protein,G,Kale,0.06
Protein,G,Kirsch,0.0
Protein,G,Kiwi,0.0
Protein,G,Kumquat,0.02
Protein,G,Lamb,0.54
Protein,G,Lamb Chop,0.54
Protein,G,Lamb Shank,0.4
Protein,G,Lasagna,0.16
Protein,G,Leafy Green,0.02
Protein,G,Leek,0.02
Protein,G,Legume,0.5
Protein,G,Lemon,0.0
Protein,G,Lemon Juice,0.0
Protein,G,Lemongrass,0.02
Protein,G,Lentil,0.06
Protein,G,Lettuce,0.02
Protein,G,Lima Bean,0.14
Protein,G,Lime,0.16
Protein,G,Lime Juice,0.0
Protein,G,Lingonberry,0.0
Protein,G,Liqueur,0.0
Protein,G,Lobster,0.4
Protein,G,Lychee,0.0
Protein,G,Macadamia Nut,0.14
Protein,G,Mango,0.0
Protein,G,Maple Syrup,0.0
Protein,G,Margarita,0.0
Protein,G,Marsala,0.0
Protein,G,Mayonnaise,0.0
Protein,G,Meat,0.34
Protein,G,Meatball,0.14
Protein,G,Melon,0.02
Protein,G,Mezcal,0.06
Protein,G,Midori,0.0
Protein,G,Mint,0.0
Protein,G,Molasses,0.0
Protein,G,Monterey Jack,0.46
Protein,G,Mozzarella,0.42
Protein,G,Muffin,0.08
Protein,G,Mussel,0.3
Protein,G,Mustard,0.08
Protein,G,Mustard Greens,0.06
Protein,G,Nectarine,0.02
Protein,G,Noodle,0.06
Protein,G,Nut,0.36
Protein,G,Nutmeg,0.0
Protein,G,Oat,0.26
Protein,G,Octopus,0.26
Protein,G,Okra,0.06
Protein,G,Olive,0.0
Protein,G,Onion,0.2
Protein,G,Orange,0.08
Protein,G,Orange Juice,0.0
Protein,G,Oregano,0.0
